name,date,unit,season,country
MN549341.1,2017-10-10,China,2017-2018,China
MN549959.1,2017-10-28,China,2017-2018,China
MN636388.1,2017-11-01,China,2017-2018,China
MN636394.1,2017-11-01,China,2017-2018,China
MN636395.1,2017-11-01,China,2017-2018,China
MN636389.1,2017-11-03,China,2017-2018,China
MN636390.1,2017-11-10,China,2017-2018,China
MN636391.1,2017-11-12,China,2017-2018,China
PZ152165.1,2017-11-13,China,2017-2018,China
MN636392.1,2017-11-14,China,2017-2018,China
OP721077.1,2017-11-16,China,2017-2018,China
OP704142.1,2017-11-16,China,2017-2018,China
MN636393.1,2017-11-18,China,2017-2018,China
MZ303891.1,2017-11-27,China,2017-2018,China
MZ303892.1,2017-11-27,China,2017-2018,China
MZ303900.1,2017-11-27,China,2017-2018,China
MZ303901.1,2017-11-27,China,2017-2018,China
OP721076.1,2017-11-27,China,2017-2018,China
OP704141.1,2017-11-27,China,2017-2018,China
MZ303902.1,2017-11-29,China,2017-2018,China
MZ303903.1,2017-11-29,China,2017-2018,China
MZ303904.1,2017-11-29,China,2017-2018,China
MZ303905.1,2017-11-29,China,2017-2018,China
OP721073.1,2017-12-01,China,2017-2018,China
OP721074.1,2017-12-01,China,2017-2018,China
OP721075.1,2017-12-01,China,2017-2018,China
OP704138.1,2017-12-01,China,2017-2018,China
OP704139.1,2017-12-01,China,2017-2018,China
OP704140.1,2017-12-01,China,2017-2018,China
PZ152164.1,2017-12-06,China,2017-2018,China
OP721072.1,2017-12-11,China,2017-2018,China
OP704137.1,2017-12-11,China,2017-2018,China
MN550916.1,2017-12-17,China,2017-2018,China
MZ303909.1,2017-12-27,China,2017-2018,China
MZ303913.1,2017-12-27,China,2017-2018,China
MZ303887.1,2017-12-31,China,2017-2018,China
MN653620.1,2018-01-01,China,2017-2018,China
MZ303910.1,2018-01-02,China,2017-2018,China
MZ303921.1,2018-01-02,China,2017-2018,China
MZ303911.1,2018-01-03,China,2017-2018,China
MT540635.1,2018-01-03,China,2017-2018,China
MT540636.1,2018-01-03,China,2017-2018,China
MT540637.1,2018-01-03,China,2017-2018,China
MT540647.1,2018-01-03,China,2017-2018,China
MZ303890.1,2018-01-04,China,2017-2018,China
MZ303883.1,2018-01-05,China,2017-2018,China
MZ303912.1,2018-01-05,China,2017-2018,China
MN653622.1,2018-01-05,China,2017-2018,China
MZ303884.1,2018-01-06,China,2017-2018,China
MZ303885.1,2018-01-06,China,2017-2018,China
MZ303886.1,2018-01-06,China,2017-2018,China
MN653621.1,2018-01-06,China,2017-2018,China
MN653623.1,2018-01-07,China,2017-2018,China
MN653624.1,2018-01-07,China,2017-2018,China
PZ152166.1,2018-01-08,China,2017-2018,China
MZ303889.1,2018-01-08,China,2017-2018,China
MZ303915.1,2018-01-08,China,2017-2018,China
MZ303916.1,2018-01-08,China,2017-2018,China
MZ303917.1,2018-01-08,China,2017-2018,China
PZ152167.1,2018-01-09,China,2017-2018,China
MZ303918.1,2018-01-11,China,2017-2018,China
OR857490.1,2018-01-15,China,2017-2018,China
MZ303893.1,2018-01-15,China,2017-2018,China
MZ303894.1,2018-01-15,China,2017-2018,China
MZ303895.1,2018-01-15,China,2017-2018,China
MZ303896.1,2018-01-15,China,2017-2018,China
MZ303919.1,2018-01-15,China,2017-2018,China
MN594894.1,2018-01-XX,China,2017-2018,China
MN594926.1,2018-01-XX,China,2017-2018,China
MN853441.1,2018-01-XX,China,2017-2018,China
MN853453.1,2018-01-XX,China,2017-2018,China
MN853454.1,2018-01-XX,China,2017-2018,China
MN853455.1,2018-01-XX,China,2017-2018,China
MN853456.1,2018-01-XX,China,2017-2018,China
MN853457.1,2018-01-XX,China,2017-2018,China
MN853458.1,2018-01-XX,China,2017-2018,China
MZ303897.1,2018-01-18,China,2017-2018,China
MZ303898.1,2018-01-18,China,2017-2018,China
MZ303899.1,2018-01-19,China,2017-2018,China
MN653601.1,2018-01-22,China,2017-2018,China
MN653602.1,2018-01-22,China,2017-2018,China
MN653603.1,2018-01-22,China,2017-2018,China
MN653605.1,2018-01-25,China,2017-2018,China
MN559738.1,2018-01-25,China,2017-2018,China
MN653604.1,2018-01-26,China,2017-2018,China
MN653607.1,2018-01-30,China,2017-2018,China
OR857402.1,2018-01-31,China,2017-2018,China
MZ303914.1,2018-01-31,China,2017-2018,China
MZ303922.1,2018-01-31,China,2017-2018,China
MZ303920.1,2018-02-01,China,2017-2018,China
MZ303923.1,2018-02-01,China,2017-2018,China
MZ303888.1,2018-02-02,China,2017-2018,China
MN559734.1,2018-02-06,China,2017-2018,China
MN653608.1,2018-02-07,China,2017-2018,China
MZ303907.1,2018-02-08,China,2017-2018,China
MZ303908.1,2018-02-08,China,2017-2018,China
MZ303924.1,2018-02-08,China,2017-2018,China
MZ303925.1,2018-02-08,China,2017-2018,China
MZ303906.1,2018-02-09,China,2017-2018,China
MN653619.1,2018-02-09,China,2017-2018,China
MN653610.1,2018-02-11,China,2017-2018,China
MN653611.1,2018-02-11,China,2017-2018,China
MN653612.1,2018-02-11,China,2017-2018,China
MN653613.1,2018-02-11,China,2017-2018,China
MN653614.1,2018-02-11,China,2017-2018,China
MN653615.1,2018-02-11,China,2017-2018,China
MN653616.1,2018-02-11,China,2017-2018,China
MN653617.1,2018-02-11,China,2017-2018,China
MN653618.1,2018-02-11,China,2017-2018,China
MN653609.1,2018-02-12,China,2017-2018,China
MN594950.1,2018-02-XX,China,2017-2018,China
MN594958.1,2018-02-XX,China,2017-2018,China
MN594982.1,2018-02-XX,China,2017-2018,China
MN853440.1,2018-02-XX,China,2017-2018,China
MN853442.1,2018-02-XX,China,2017-2018,China
MN853443.1,2018-02-XX,China,2017-2018,China
MN853444.1,2018-02-XX,China,2017-2018,China
MN853445.1,2018-02-XX,China,2017-2018,China
MN853446.1,2018-02-XX,China,2017-2018,China
MN853447.1,2018-02-XX,China,2017-2018,China
MN853448.1,2018-02-XX,China,2017-2018,China
MZ303926.1,2018-02-21,China,2017-2018,China
MN559736.1,2018-02-23,China,2017-2018,China
MN550947.1,2018-03-06,China,2017-2018,China
MT540638.1,2018-03-13,China,2017-2018,China
MN594998.1,2018-03-XX,China,2017-2018,China
MT540646.1,2018-05-29,China,2017-2018,China
MT540648.1,2018-06-19,China,2017-2018,China
MT540645.1,2018-07-04,China,2017-2018,China
MT540643.1,2018-07-20,China,2017-2018,China
MT540639.1,2018-07-21,China,2017-2018,China
MT540640.1,2018-07-21,China,2017-2018,China
MT540641.1,2018-07-22,China,2017-2018,China
MT540642.1,2018-07-22,China,2017-2018,China
MT540644.1,2018-07-22,China,2017-2018,China
OR418444.1,2018-08-10,China,2017-2018,China
OR418445.1,2018-08-10,China,2017-2018,China
OR418446.1,2018-08-10,China,2017-2018,China
OR418447.1,2018-08-10,China,2017-2018,China
OR418448.1,2018-08-10,China,2017-2018,China
OR418449.1,2018-08-10,China,2017-2018,China
OR418450.1,2018-08-10,China,2017-2018,China
OR418451.1,2018-08-10,China,2017-2018,China
OR418452.1,2018-08-10,China,2017-2018,China
OR418453.1,2018-08-10,China,2017-2018,China
OR418454.1,2018-08-10,China,2017-2018,China
OR418455.1,2018-08-10,China,2017-2018,China
OR418456.1,2018-08-10,China,2017-2018,China
OR418457.1,2018-08-10,China,2017-2018,China
OR418458.1,2018-08-10,China,2017-2018,China
OR418459.1,2018-08-10,China,2017-2018,China
