name,date,unit,season,country
AB745265.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745266.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745267.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745268.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745269.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745270.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745271.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745272.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745273.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745274.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745275.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745291.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745292.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745293.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745294.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745295.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745296.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745297.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745298.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745299.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745300.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745301.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745302.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745303.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745304.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745305.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745306.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745307.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745308.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745309.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745310.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745311.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745312.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745313.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745314.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745315.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745328.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745329.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745330.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745331.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745332.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745333.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745334.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745335.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745336.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745337.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745338.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745339.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745340.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745341.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745342.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745343.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745344.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745345.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745346.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745347.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745348.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745349.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745350.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745351.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745352.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745353.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745354.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745355.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745356.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745357.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745358.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745359.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745360.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745361.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745380.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745381.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745382.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745383.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745384.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745385.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745386.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745387.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745388.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745389.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745390.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745391.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745392.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745393.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745394.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745395.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745396.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745397.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745398.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745399.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745400.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745401.1,2011-01-XX,Japan: Tottori,2010-2011,Japan
AB745276.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745316.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745317.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745318.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745319.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745320.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745362.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745363.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745364.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745365.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745366.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745367.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745402.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745403.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745404.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745405.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745406.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745407.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745408.1,2011-02-XX,Japan: Tottori,2010-2011,Japan
AB745321.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745322.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745323.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745368.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745369.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745370.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745371.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745372.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745373.1,2011-03-XX,Japan: Tottori,2010-2011,Japan
AB745324.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745325.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745326.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745327.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745374.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745375.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745376.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745377.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745378.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
AB745379.1,2011-04-XX,Japan: Tottori,2010-2011,Japan
