name,date,unit,year,country
EU578687.1,1997-10-02,USA,1997,USA
EU578688.1,1997-10-02,USA,1997,USA
EU578689.1,1997-10-07,USA,1997,USA
EU578690.1,1997-10-07,USA,1997,USA
EU578691.1,1997-10-07,USA,1997,USA
EU578692.1,1997-10-07,USA,1997,USA
EU578693.1,1997-10-07,USA,1997,USA
EU578694.1,1997-10-07,USA,1997,USA
EU578695.1,1997-10-07,USA,1997,USA
EU578696.1,1997-10-07,USA,1997,USA
EU578697.1,1997-10-07,USA,1997,USA
EU578698.1,1997-10-07,USA,1997,USA
EU578699.1,1997-10-07,USA,1997,USA
EU578700.1,1997-10-07,USA,1997,USA
EU578701.1,1997-10-07,USA,1997,USA
EU578702.1,1997-10-07,USA,1997,USA
EU578703.1,1997-10-07,USA,1997,USA
EU578704.1,1997-10-07,USA,1997,USA
EU578705.1,1997-10-07,USA,1997,USA
EU578706.1,1997-10-07,USA,1997,USA
EU578707.1,1997-10-07,USA,1997,USA
EU578708.1,1997-10-07,USA,1997,USA
EU578709.1,1997-10-07,USA,1997,USA
EU578710.1,1997-10-07,USA,1997,USA
EU578711.1,1997-10-07,USA,1997,USA
EU578712.1,1997-10-07,USA,1997,USA
EU578713.1,1997-10-07,USA,1997,USA
EU578714.1,1997-10-07,USA,1997,USA
EU578715.1,1997-10-07,USA,1997,USA
JN562785.1,1997-10-17,USA,1997,USA
JN562786.1,1997-10-17,USA,1997,USA
JN562787.1,1997-10-17,USA,1997,USA
JN562788.1,1997-10-17,USA,1997,USA
JN562789.1,1997-10-17,USA,1997,USA
JN562790.1,1997-10-17,USA,1997,USA
EU575134.1,1997-10-17,USA,1997,USA
EU575135.1,1997-10-17,USA,1997,USA
EU575136.1,1997-10-17,USA,1997,USA
EU575137.1,1997-10-17,USA,1997,USA
EU575138.1,1997-10-17,USA,1997,USA
EU575139.1,1997-10-17,USA,1997,USA
EU575140.1,1997-10-17,USA,1997,USA
EU575141.1,1997-10-17,USA,1997,USA
EU575142.1,1997-10-17,USA,1997,USA
EU575143.1,1997-10-17,USA,1997,USA
EU575144.1,1997-10-17,USA,1997,USA
EU575145.1,1997-10-17,USA,1997,USA
EU575146.1,1997-10-17,USA,1997,USA
EU575147.1,1997-10-17,USA,1997,USA
EU575148.1,1997-10-17,USA,1997,USA
EU575149.1,1997-10-17,USA,1997,USA
EU575150.1,1997-10-17,USA,1997,USA
EU575151.1,1997-10-17,USA,1997,USA
EU575152.1,1997-10-17,USA,1997,USA
EU575153.1,1997-10-17,USA,1997,USA
EU575154.1,1997-10-17,USA,1997,USA
EU575155.1,1997-10-17,USA,1997,USA
EU575156.1,1997-10-17,USA,1997,USA
EU575157.1,1997-10-17,USA,1997,USA
EU575158.1,1997-10-17,USA,1997,USA
EU575159.1,1997-10-17,USA,1997,USA
EU575160.1,1997-10-17,USA,1997,USA
EU575161.1,1997-10-17,USA,1997,USA
EU575162.1,1997-10-17,USA,1997,USA
EU575163.1,1997-10-17,USA,1997,USA
EU575164.1,1997-10-17,USA,1997,USA
EU575165.1,1997-10-17,USA,1997,USA
EU575166.1,1997-10-17,USA,1997,USA
EU575168.1,1997-10-17,USA,1997,USA
EU575169.1,1997-10-17,USA,1997,USA
EU575170.1,1997-10-17,USA,1997,USA
EU575171.1,1997-10-17,USA,1997,USA
EU575172.1,1997-10-17,USA,1997,USA
EU575173.1,1997-10-17,USA,1997,USA
EU575174.1,1997-10-17,USA,1997,USA
EU575175.1,1997-10-17,USA,1997,USA
EU575176.1,1997-10-17,USA,1997,USA
EU575177.1,1997-10-17,USA,1997,USA
EU575178.1,1997-10-17,USA,1997,USA
EU575180.1,1997-10-17,USA,1997,USA
EU575182.1,1997-10-17,USA,1997,USA
EF593181.1,1997-10-17,USA,1997,USA
JN562770.1,1997-11-03,USA,1997,USA
JN562771.1,1997-11-03,USA,1997,USA
JN562772.1,1997-11-03,USA,1997,USA
JN562773.1,1997-11-03,USA,1997,USA
JN562774.1,1997-11-03,USA,1997,USA
JN562791.1,1997-11-17,USA,1997,USA
JN562792.1,1997-11-17,USA,1997,USA
JN562793.1,1997-11-17,USA,1997,USA
JN562794.1,1997-11-17,USA,1997,USA
JN562795.1,1997-11-17,USA,1997,USA
JN562796.1,1997-11-17,USA,1997,USA
EU575771.1,1997-11-25,USA,1997,USA
EU575772.1,1997-11-25,USA,1997,USA
EU575773.1,1997-11-25,USA,1997,USA
EF593204.1,1997-11-25,USA,1997,USA
EU575184.1,1997-12-03,USA,1997,USA
EU575185.1,1997-12-03,USA,1997,USA
EU575186.1,1997-12-03,USA,1997,USA
EU575187.1,1997-12-03,USA,1997,USA
EU575188.1,1997-12-03,USA,1997,USA
EU575189.1,1997-12-03,USA,1997,USA
EU575190.1,1997-12-03,USA,1997,USA
EU575191.1,1997-12-03,USA,1997,USA
EU575192.1,1997-12-03,USA,1997,USA
EU575193.1,1997-12-03,USA,1997,USA
EU575194.1,1997-12-03,USA,1997,USA
